n_bins,Rmin_arcsec,Rmax_arcsec,Rmin_Rh,Rmax_Rh,KAP,KAP_err_analytic,KAP_resample_std,KAP_resample_p16,KAP_resample_p84,KAP_resample_p2p5,KAP_resample_p97p5,KAP_SNR,KAP_class,GKI,GKI_err,GKI_resample_std,GKI_resample_p16,GKI_resample_p84,GKI_SNR,GKI_sign_class,R2_GKI,chi2nu_GKI,delta_BIC_slope_minus_const,beta_min,beta_max,beta_var,mean_beta_err2,Ds_raw,Ds_corr,Ds_raw_resample_std,Ds_corr_resample_std,minus_beta_norm_wmean,minus_beta_norm_dispersionweighted,KAP_minus_minus_beta_norm_wmean,cluster,range,Rmin_Rh_cov,Rmax_Rh_cov,rh_pc,dist,name_field,RA,DEC,Rsun_kpc,RGC_kpc_struct,NRV,NPM,Mass_Msun,Vmag,MLV,rc_pc,rh_l_pc,rh_m_pc,rt_pc,log_rhoc,log_rhhm,log_Trh,log_Mini,TDiss_Gyr,MF_slope,sigma0_kms,vesc_kms,eta_c,eta_h,ARot_kms,PRot_percent,RPeri_kpc,RApo_kpc,RGC_kpc_orb,FeH,M_V,multiple_pop_flag,dyn_age_12Gyr_over_Trh,log_mass,rc_over_rh
31,6.4747,108.8635,0.1343404427199211,2.2587565116592474,-0.0449915790457954,0.0100837332856963,0.0099736053376101,-0.0548163204371154,-0.0347455154906368,-0.0640062497120999,-0.0248179353663035,4.461797805542444,RADIAL,-0.230904634455573,0.0108729189248287,0.0105800595604618,-0.2414758531315145,-0.220113955918715,21.23667398349604,NEGATIVE,0.9359017997014968,1.0651004190993447,-447.5623346768632,-0.07640625,0.2243077182055382,0.0079735983616739,0.0120227695159204,0.144996715861418,0.0,0.1768332606858364,0.1262496414135814,-0.0475548714431681,-0.0449915790457954,0.0025632923973727,NGC6388,full,0.1343404427199211,2.2587565116592474,2.61,11.17,NGC 6388,264.07178,-44.7355,11.17,3.99,6008.0,12692.0,1310000.0,6.82,2.3,0.48,2.61,5.37,96.85,5.18,3.0,9.64,6.48,40.1,-1.01,16.3,60.0,-0.16,-0.0,1.51,99.5,1.15,4.05,3.99,-0.55,-9.41,0,2.749041183321324,6.117271295655764,0.1839080459770115
27,7.0728,110.1411,0.2039766555635376,3.1764242192751317,-0.1006318895137109,0.0140888824093909,0.0140211670498609,-0.1140774245462084,-0.0860064775495304,-0.1268398440238474,-0.0725629185628315,7.142645285096203,RADIAL,-0.1588277808561178,0.0151954435338868,0.014914015250711,-0.1743546342134533,-0.1453042640120217,10.452329377679671,NEGATIVE,0.7701008004805641,1.3045960205945375,-105.95535255349986,-0.2712337899398418,0.3849795974587213,0.0168803204813525,0.0200169810903235,0.1525809651769577,0.0,0.2537732774861788,0.1966881238767666,-0.1059376044979479,-0.1006318895137109,0.005305714984237,NGC6441,full,0.2039766555635376,3.1764242192751317,2.14,12.73,NGC 6441,267.55441,-37.05145,12.73,4.78,5533.0,5975.0,1390000.0,7.12,1.86,0.64,2.14,4.3,108.31,4.95,3.33,9.5,6.48,57.0,-0.88,17.6,69.4,-0.33,-0.05,1.52,55.3,1.61,4.7,4.78,-0.46,-9.63,0,3.794733192202055,6.143014800254095,0.2990654205607476
21,3.7535,98.5503,0.0604727966323899,1.587748035156792,-0.0065158261853715,0.0172881437718322,0.0173737402802356,-0.0232823606099463,0.0109811225252926,-0.0399748033944781,0.0285482119205651,0.3768956500690253,ISOTROPIC,-0.1399489762302141,0.0105231893515701,0.0097747702631953,-0.1495902682282732,-0.1303911200766837,13.29910272966171,NEGATIVE,0.8290961381694444,1.918836913948848,-173.82161097637282,-0.4145513112285985,0.2978180727023319,0.0336804934107031,0.0247359087995634,2.039286017706752,0.5415765769599934,1.6439590024021855,1.1819993497504928,-0.0010365552583518,-0.0065158261853715,-0.0054792709270196,NGC6541,full,0.0604727966323899,1.587748035156792,2.29,7.61,NGC 6541,272.00983,-43.71489,7.61,2.19,7336.0,4372.0,257000.0,6.61,1.53,0.11,2.29,3.81,37.42,6.47,2.75,9.12,5.97,12.8,-0.75,9.2,37.3,-0.39,-0.13,3.73,100.0,1.55,3.58,2.19,-1.81,-8.52,0,9.102930900350222,5.409933123331294,0.0480349344978165
18,3.7576,83.4855,0.0859429888164996,1.9094617289865552,0.0183683084615948,0.024108539075931,0.0229420512852705,-0.0047710964261918,0.0410761371464992,-0.026308027483151,0.0627599080391883,0.7619005201328433,ISOTROPIC,-0.1803041536753481,0.0146166261306507,0.0142916449307405,-0.1945448153450134,-0.1662114830355166,12.335552135198611,NEGATIVE,0.8991864439342214,1.066268027539829,-149.27547472230808,-0.3528494542528047,0.3198001913061962,0.0423418228144612,0.0424462751919436,1.4925748171338389,0.0,2.086214427209037,1.4137204865166604,0.0312335086857732,0.0183683084615948,-0.0128652002241783,NGC6624,full,0.0859429888164996,1.9094617289865552,1.7,8.02,NGC 6624,275.91879,-30.36103,8.02,1.2,2552.0,2526.0,103000.0,8.03,1.37,0.19,1.7,2.25,16.82,5.25,3.02,8.4,6.41,0.9,0.66,7.0,28.0,-0.35,-0.06,0.87,46.7,0.32,1.36,1.2,-0.44,-7.49,1,47.77286046641963,5.012837224705172,0.1117647058823529
22,3.7959,87.7647,0.0679613794968061,1.5713296143532074,0.0235734926827894,0.0187065726242224,0.0185083058259041,0.0047072654082734,0.0423847639508689,-0.0115239503244536,0.0605562124254744,1.2601716603214126,ISOTROPIC,-0.1471581347140373,0.0132915031969201,0.0122093722017467,-0.1596473984021388,-0.1349004749367589,11.07159457691256,NEGATIVE,0.7807077136563771,1.7215721881750283,-119.48916402216403,-0.4278224648089628,0.3442521266540642,0.0468203013509057,0.031882700611185,1.3945615308265744,0.4449224535813047,1.5311614665143771,1.0829658822785129,0.0360586035525195,0.0235734926827894,-0.01248511086973,NGC6637,full,0.0679613794968061,1.5713296143532074,2.41,8.9,NGC 6637           M 69,277.84625,-32.34808,8.9,1.71,69.0,3720.0,138000.0,7.62,1.53,0.57,2.41,3.19,24.2,4.02,2.71,8.78,6.3,1.8,0.1,6.3,24.3,-0.34,-0.1,,,0.4,2.03,1.71,-0.64,-7.64,0,19.91504288925076,5.139879086401237,0.2365145228215767
14,2.8798,86.5454,0.0605004888533359,1.818195363569518,-0.0438960232676396,0.0247960016532107,0.0242752183875872,-0.0668862111645124,-0.0202815357005809,-0.0902399550555851,0.0064446421798347,1.7702863502574264,ISOTROPIC,-0.1551473964303638,0.0128849679830273,0.0115680352262058,-0.1663952894736375,-0.1435121541836275,12.040960958128183,NEGATIVE,0.8707648268655274,1.7931676747868746,-142.3456834655502,-0.2631372856135954,0.3896484375,0.0299836354406522,0.0290006265175671,0.5563237067001757,0.0182389880270682,1.237557692485367,0.7932672649285347,-0.0595885567702454,-0.0438960232676396,0.0156925335026058,NGC6681,full,0.0605004888533359,1.818195363569518,2.16,9.36,NGC 6681           M 70,280.80316,-32.29211,9.36,2.29,1853.0,2228.0,105000.0,7.91,1.68,0.07,2.16,3.04,27.47,6.03,2.66,8.71,5.97,3.4,-0.17,6.5,25.3,-0.38,-0.13,,,0.81,4.98,2.29,-1.62,-7.12,0,23.398135197096497,5.021189299069938,0.0324074074074074
16,7.7625,74.9231,0.2762602536981566,2.666444394699177,-0.0702610330844243,0.0231322881409623,0.022378821922697,-0.0908556537448014,-0.046466389702931,-0.1118184283912362,-0.025691471637854,3.037357681880464,RADIAL,-0.2129297393292536,0.0215591930755157,0.0228750980518124,-0.2345708624566314,-0.1907004403521368,9.876517111907704,NEGATIVE,0.8014962850452219,1.7256262180867774,-94.77300153956372,-0.1046438983756765,0.4063423810803547,0.0210116856764032,0.0252658871061486,0.2617918667244365,0.0,0.538519293318015,0.3619748457371247,-0.0700274480940379,-0.0702610330844243,-0.0002335849903863,NGC6715,full,0.2762602536981566,2.666444394699177,3.58,26.28,NGC 6715           M 54,283.76385,-30.47986,26.28,18.51,1600.0,2720.0,1590000.0,7.57,1.87,0.55,3.58,5.78,279.15,5.17,2.99,9.76,6.47,613.5,-1.42,17.2,68.9,-0.35,-0.04,0.57,18.5,14.77,46.92,18.51,-1.49,-10.01,0,2.0853609944992515,6.201397124320452,0.1536312849162011
11,10.1496,84.6906,0.111796320906931,0.932854249960642,-0.0550756287060496,0.0324613452324506,0.0313107872580605,-0.0852216684633673,-0.0230291114845194,-0.1138993811135518,0.0059159666423116,1.6966526898889018,ISOTROPIC,-0.1104185763894711,0.0265108841736362,0.0239905390984227,-0.1347051034455253,-0.0865524219064357,4.165028056637848,NEGATIVE,0.6175913650523448,1.1934928680599546,-14.949563439781477,-0.2257653061224487,0.4933910034602077,0.0497974911272489,0.0392701999012806,0.7652248947480333,0.1617701040357312,2.118972815596256,1.3944943786756632,-0.0479436552408643,-0.0550756287060496,-0.0071319734651853,NGC6723,full,0.111796320906931,0.932854249960642,3.64,8.27,NGC 6723,284.88812,-36.63225,8.27,2.47,493.0,4035.0,197000.0,7.21,2.24,1.48,3.64,5.07,38.54,3.13,2.26,9.23,5.88,11.4,-0.33,5.9,21.5,-0.29,-0.12,0.84,93.0,2.07,2.82,2.47,-1.09,-7.84,0,7.066123864267061,5.294466226161593,0.4065934065934066
21,3.8931,99.8755,0.0995780118812676,2.5546232374322626,-0.1002303756859923,0.0140883215712252,0.0140489734097195,-0.1139691453088468,-0.0858148727060899,-0.1260122715869903,-0.0716965876978389,7.1144298615889365,RADIAL,-0.172600735999693,0.0100964286968023,0.0088995826793016,-0.1816148303817245,-0.1638714656779086,17.09522655811539,NEGATIVE,0.8230560873604944,3.306757258523298,-289.2022486355727,-0.0797920604914932,0.3227261280648337,0.0142543028276706,0.0141446810917703,0.129313746224327,0.0009944784749035,0.1263079286656621,0.0997287206413781,-0.1112497403558634,-0.1002303756859923,0.0110193646698711,NGC7078,full,0.0995780118812676,2.5546232374322626,2.03,10.71,NGC 7078           M 15,322.49304,12.167,10.71,10.76,4132.0,6157.0,518000.0,6.28,1.29,0.06,2.03,3.66,132.13,6.65,3.09,9.21,6.05,65.0,-0.97,13.1,48.9,-0.37,-0.07,3.29,100.0,3.9,10.77,10.76,-2.37,-9.19,1,7.399140022337771,5.714329759745233,0.0295566502463054
13,4.7085,87.3989,0.0760315212580101,1.4112926246738249,-0.0634813883196372,0.0313303765566001,0.0310341510352083,-0.0936795994886608,-0.0309251900682591,-0.1221270265963386,-0.0024211521033827,2.0261929570158377,RADIAL,-0.1395067484838838,0.0179791620345464,0.0173087084297894,-0.1564072468640155,-0.1214325981319054,7.75935765058602,NEGATIVE,0.9390960208676444,0.354972347649281,-57.64268179224611,-0.2117060272820141,0.52734375,0.0523378091113737,0.0410675122147389,0.7122593939530525,0.1533762106890258,1.9421470750383552,1.2233817505154936,-0.057818489360837,-0.0634813883196372,-0.0056628989588002,NGC7099,full,0.0760315212580101,1.4112926246738249,2.54,8.46,NGC 7099           M 30,325.09213,-23.17986,8.46,7.36,2902.0,2021.0,121000.0,7.37,1.61,0.09,2.54,4.27,71.2,6.74,2.28,9.01,5.76,8.2,-0.75,5.9,21.0,-0.39,-0.08,1.1,100.0,1.51,8.56,7.36,-2.32,-7.46,1,11.726846651469732,5.08278537031645,0.0354330708661417
