n_bins,Rmin_arcsec,Rmax_arcsec,Rmin_Rh,Rmax_Rh,KAP,KAP_err_analytic,KAP_resample_std,KAP_resample_p16,KAP_resample_p84,KAP_resample_p2p5,KAP_resample_p97p5,KAP_SNR,KAP_class,GKI,GKI_err,GKI_resample_std,GKI_resample_p16,GKI_resample_p84,GKI_SNR,GKI_sign_class,R2_GKI,chi2nu_GKI,delta_BIC_slope_minus_const,beta_min,beta_max,beta_var,mean_beta_err2,Ds_raw,Ds_corr,Ds_raw_resample_std,Ds_corr_resample_std,minus_beta_norm_wmean,minus_beta_norm_dispersionweighted,KAP_minus_minus_beta_norm_wmean,cluster,range,name_field,RA,DEC,Rsun_kpc,RGC_kpc_struct,NRV,NPM,Mass_Msun,Vmag,MLV,rc_pc,rh_l_pc,rh_m_pc,rt_pc,log_rhoc,log_rhhm,log_Trh,log_Mini,TDiss_Gyr,MF_slope,sigma0_kms,vesc_kms,eta_c,eta_h,ARot_kms,PRot_percent,RPeri_kpc,RApo_kpc,RGC_kpc_orb,FeH,M_V,multiple_pop_flag,dyn_age_12Gyr_over_Trh,log_mass,rc_over_rh
13,6.4747,46.4154,0.1343404427199211,0.9630508571860048,-0.0258085490543313,0.0155764381769363,0.0152404709033416,-0.0409216967953495,-0.0105518836327744,-0.0554533169041583,0.0052588135828421,1.6568967026457582,ISOTROPIC,-0.1686922246455492,0.0238323944768218,0.0226226875462493,-0.1919994991280538,-0.1465429563266743,7.078274271165262,NEGATIVE,0.8281568462460748,0.9451086249031484,-47.537017300378906,-0.0577202723246743,0.1987872267592545,0.0079844020493511,0.0151659395533368,0.2229747437472723,0.0,0.7232434647701009,0.452422925573443,-0.0251384055942262,-0.0258085490543313,-0.000670143460105,NGC6388,R_le_Rh,NGC 6388,264.07178,-44.7355,11.17,3.99,6008.0,12692.0,1310000.0,6.82,2.3,0.48,2.61,5.37,96.85,5.18,3.0,9.64,6.48,40.1,-1.01,16.3,60.0,-0.16,-0.0,1.51,99.5,1.15,4.05,3.99,-0.55,-9.41,0,2.749041183321324,6.117271295655764,0.1839080459770115
5,7.0728,32.2578,0.2039766555635376,0.9303017418614248,-0.0215549353789153,0.0366054461090012,0.036490597802475,-0.0572373241075643,0.0158761863396649,-0.0915311394544586,0.0509943390158897,0.5888450400175571,ISOTROPIC,-0.035619040932107,0.0493628609961166,0.0495289719502822,-0.0834740542214777,0.0139327337423003,0.7215756990849692,CONSISTENT_WITH_ZERO,0.3542406365006851,0.316384264455181,1.088766422924108,-0.2712337899398418,0.1166826841539941,0.0226884256501985,0.0488592658558797,0.7190135355294903,0.0,5.184782211273984,3.621281484826491,-0.0215200170262739,-0.0215549353789153,-3.4918352641410966e-05,NGC6441,R_le_Rh,NGC 6441,267.55441,-37.05145,12.73,4.78,5533.0,5975.0,1390000.0,7.12,1.86,0.64,2.14,4.3,108.31,4.95,3.33,9.5,6.48,57.0,-0.88,17.6,69.4,-0.33,-0.05,1.52,55.3,1.61,4.7,4.78,-0.46,-9.63,0,3.794733192202055,6.143014800254095,0.2990654205607476
16,3.7535,59.5946,0.0604727966323899,0.9601311112797724,-0.0046811082134597,0.0194917997686037,0.0190156908097367,-0.0236641853300881,0.0139544127147272,-0.0421237903874898,0.0315081479253007,0.2401578237531362,ISOTROPIC,-0.1128232990683513,0.0137873082317579,0.0129358248746193,-0.126205676392249,-0.1002828333696704,8.183127349577338,NEGATIVE,0.8640022164369656,0.7528831163399552,-64.19098449716248,-0.4145513112285985,0.2390221819827976,0.0362770192237429,0.0251863322532477,2.471000056418349,0.7554393584761675,1.782101466621948,1.3535318756284362,0.0001806719587502,-0.0046811082134597,-0.00486178017221,NGC6541,R_le_Rh,NGC 6541,272.00983,-43.71489,7.61,2.19,7336.0,4372.0,257000.0,6.61,1.53,0.11,2.29,3.81,37.42,6.47,2.75,9.12,5.97,12.8,-0.75,9.2,37.3,-0.39,-0.13,3.73,100.0,1.55,3.58,2.19,-1.81,-8.52,0,9.102930900350222,5.409933123331294,0.0480349344978165
13,3.7576,41.1751,0.0859429888164996,0.9417477003455008,-0.0143256544342261,0.0277026733238836,0.0273078339732675,-0.0403264751540791,0.013714334047929,-0.0667179213925704,0.0413879938141697,0.5171217328645104,ISOTROPIC,-0.156960927747718,0.0207168539864087,0.0191356347213329,-0.1764287203445769,-0.138579678425368,7.576484723534368,NEGATIVE,0.8169279514564085,1.169448507744175,-54.8381714084862,-0.3528494542528047,0.3198001913061962,0.0418187339022939,0.038242787436902,1.7191206105211765,0.1470030939994205,2.4261218497436787,1.665496850102678,-0.0142944530047532,-0.0143256544342261,-3.120142947288761e-05,NGC6624,R_le_Rh,NGC 6624,275.91879,-30.36103,8.02,1.2,2552.0,2526.0,103000.0,8.03,1.37,0.19,1.7,2.25,16.82,5.25,3.02,8.4,6.41,0.9,0.66,7.0,28.0,-0.35,-0.06,0.87,46.7,0.32,1.36,1.2,-0.44,-7.49,1,47.77286046641963,5.012837224705172,0.1117647058823529
17,3.7959,55.0196,0.0679613794968061,0.9850649161891708,-0.0033742179140197,0.0211269468984068,0.0211586525212464,-0.0244383682318003,0.0172698798942989,-0.0427787569500321,0.0407413828622808,0.1597115726302218,ISOTROPIC,-0.1135327432494515,0.016945002526107,0.015909088400672,-0.1295264788368396,-0.0980740161041019,6.700072370867598,NEGATIVE,0.7093342408745906,1.226339390336735,-42.05775643080809,-0.4278224648089628,0.3442521266540642,0.044056452138853,0.0294910571465216,3.2941329670327955,1.0890651764439256,2.079615821869196,1.564968212238905,0.0049173796486609,-0.0033742179140197,-0.0082915975626807,NGC6637,R_le_Rh,NGC 6637           M 69,277.84625,-32.34808,8.9,1.71,69.0,3720.0,138000.0,7.62,1.53,0.57,2.41,3.19,24.2,4.02,2.71,8.78,6.3,1.8,0.1,6.3,24.3,-0.34,-0.1,,,0.4,2.03,1.71,-0.64,-7.64,0,19.91504288925076,5.139879086401237,0.2365145228215767
10,2.8798,44.0388,0.0605004888533359,0.9251923496472982,-0.011207886579491,0.0282222575149356,0.0277202422593868,-0.0387874127552119,0.0162441804072941,-0.0649718623223494,0.0426185158547252,0.3971293428089373,ISOTROPIC,-0.1141837382957754,0.017342093701379,0.0168941727688396,-0.1306491858491553,-0.0972565372049868,6.584195672215487,NEGATIVE,0.8762790849617216,0.7650963819503751,-41.04904755702764,-0.2631372856135954,0.1800483600967202,0.0234853268066371,0.0304408063551736,1.1073864771300928,0.0,1.9090827067345968,1.361935384747723,-0.0068559261173627,-0.011207886579491,-0.0043519604621282,NGC6681,R_le_Rh,NGC 6681           M 70,280.80316,-32.29211,9.36,2.29,1853.0,2228.0,105000.0,7.91,1.68,0.07,2.16,3.04,27.47,6.03,2.66,8.71,5.97,3.4,-0.17,6.5,25.3,-0.38,-0.13,,,0.81,4.98,2.29,-1.62,-7.12,0,23.398135197096497,5.021189299069938,0.0324074074074074
7,7.7625,26.2798,0.2762602536981566,0.9352739729644852,-0.0699969640595616,0.0344201148105419,0.033651112917698,-0.1041659970811547,-0.0369542837620729,-0.1340258328698568,-0.0025748900223695,2.0336063503810142,RADIAL,-0.2283846239482974,0.0479905024161102,0.048632569150758,-0.2749125435969607,-0.177697365634826,4.758954635816218,NEGATIVE,0.9068140634642368,0.4654630951295891,-20.70173907670056,-0.070154577883472,0.4063423810803547,0.0323220999611607,0.0254888554296037,0.4040415825917513,0.0854187982242596,1.173483141431573,0.8074466122963023,-0.0734784320236564,-0.0699969640595616,0.0034814679640947,NGC6715,R_le_Rh,NGC 6715           M 54,283.76385,-30.47986,26.28,18.51,1600.0,2720.0,1590000.0,7.57,1.87,0.55,3.58,5.78,279.15,5.17,2.99,9.76,6.47,613.5,-1.42,17.2,68.9,-0.35,-0.04,0.57,18.5,14.77,46.92,18.51,-1.49,-10.01,0,2.0853609944992515,6.201397124320452,0.1536312849162011
11,10.1496,84.6906,0.111796320906931,0.932854249960642,-0.0550756287060496,0.0324613452324506,0.0313107872580605,-0.0852216684633673,-0.0230291114845194,-0.1138993811135518,0.0059159666423116,1.6966526898889018,ISOTROPIC,-0.1104185763894711,0.0265108841736362,0.0239905390984227,-0.1347051034455253,-0.0865524219064357,4.165028056637848,NEGATIVE,0.6175913650523448,1.1934928680599546,-14.949563439781477,-0.2257653061224487,0.4933910034602077,0.0497974911272489,0.0392701999012806,0.7652248947480333,0.1617701040357312,2.118972815596256,1.3944943786756632,-0.0479436552408643,-0.0550756287060496,-0.0071319734651853,NGC6723,R_le_Rh,NGC 6723,284.88812,-36.63225,8.27,2.47,493.0,4035.0,197000.0,7.21,2.24,1.48,3.64,5.07,38.54,3.13,2.26,9.23,5.88,11.4,-0.33,5.9,21.5,-0.29,-0.12,0.84,93.0,2.07,2.82,2.47,-1.09,-7.84,0,7.066123864267061,5.294466226161593,0.4065934065934066
11,3.8931,38.6231,0.0995780118812676,0.9879046288796552,-0.0524865105642521,0.0193942996705611,0.0189290534244907,-0.0714701812425739,-0.0326540822083697,-0.0880454559474248,-0.0165177851493788,2.7062854269454357,RADIAL,-0.0826674799012091,0.0187097176755503,0.0178422124690617,-0.0998673363775384,-0.0648136439293322,4.418424763792042,NEGATIVE,0.5331044415955042,1.8997649059158672,-17.124582120491304,-0.0797920604914932,0.3227261280648337,0.0108191895244522,0.0186221516589103,0.1731444023158778,0.0,0.5515402321561659,0.3714710712771322,-0.0562386606721133,-0.0524865105642521,0.0037521501078611,NGC7078,R_le_Rh,NGC 7078           M 15,322.49304,12.167,10.71,10.76,4132.0,6157.0,518000.0,6.28,1.29,0.06,2.03,3.66,132.13,6.65,3.09,9.21,6.05,65.0,-0.97,13.1,48.9,-0.37,-0.07,3.29,100.0,3.9,10.77,10.76,-2.37,-9.19,1,7.399140022337771,5.714329759745233,0.0295566502463054
10,4.7085,56.6161,0.0760315212580101,0.91422070950316,-0.0870309351204573,0.0350358199098618,0.0338475351046318,-0.1196974413229484,-0.0520766201210986,-0.1523481703502652,-0.0191580124168387,2.4840558989161843,RADIAL,-0.1240473638583191,0.0230606090033898,0.0231736627062754,-0.1448728661134481,-0.0988108275382013,5.379188547886333,NEGATIVE,0.9391874078897852,0.2341988733992473,-26.633084340718632,-0.2117060272820141,0.52734375,0.0605298082351437,0.0384626134621807,0.6238196937914712,0.2274243234445608,1.4558386839069095,1.0003993801942683,-0.0884608451993068,-0.0870309351204573,0.0014299100788495,NGC7099,R_le_Rh,NGC 7099           M 30,325.09213,-23.17986,8.46,7.36,2902.0,2021.0,121000.0,7.37,1.61,0.09,2.54,4.27,71.2,6.74,2.28,9.01,5.76,8.2,-0.75,5.9,21.0,-0.39,-0.08,1.1,100.0,1.51,8.56,7.36,-2.32,-7.46,1,11.726846651469732,5.08278537031645,0.0354330708661417
