cluster,bin,N,R_arcsec,sigma,err_sigma,sigma_r,err_sigma_r,sigma_t,err_sigma_t,Rsun_kpc,rh_l_pc,rh_m_pc,Mass_Msun,RGC_kpc_struct,log_Trh,rc_pc,rt_pc,ARot_kms,PRot_percent,R_pc,R_over_rh_l
NGC6541,20,182,85.7079,0.173,0.007,0.177,0.01,0.17,0.009,7.61,2.29,3.81,257000.0,2.19,9.12,0.11,37.42,3.73,100.0,3.162131815867937,1.3808435877152565
NGC6541,21,181,98.5503,0.162,0.006,0.162,0.009,0.164,0.009,7.61,2.29,3.81,257000.0,2.19,9.12,0.11,37.42,3.73,100.0,3.635943000509053,1.587748035156792
NGC6624,1,88,3.7576,0.198,0.011,0.203,0.016,0.199,0.016,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,0.1461030809880493,0.0859429888164996
NGC6624,2,134,6.3937,0.178,0.009,0.19,0.013,0.17,0.011,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,0.2485999757593386,0.1462352798584345
NGC6624,3,134,9.3802,0.184,0.009,0.182,0.012,0.188,0.012,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,0.3647211305844423,0.2145418415202602
NGC6624,4,134,12.1889,0.172,0.008,0.168,0.011,0.176,0.011,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,0.4739290621288148,0.278781801252244
NGC6624,5,134,14.5414,0.174,0.008,0.165,0.011,0.182,0.012,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,0.5653990158291518,0.3325876563700893
NGC6624,6,134,16.895,0.176,0.009,0.194,0.013,0.16,0.011,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,0.6569117397522604,0.3864186704425061
NGC6624,7,134,19.4282,0.15,0.007,0.146,0.01,0.155,0.011,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,0.755407674593363,0.4443574556431547
NGC6624,8,134,22.4379,0.165,0.008,0.175,0.012,0.153,0.01,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,0.8724308922987418,0.5131946425286716
NGC6624,9,134,25.1056,0.157,0.007,0.154,0.011,0.159,0.011,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,0.9761564589241992,0.5742096817201172
NGC6624,10,134,28.4935,0.152,0.007,0.141,0.01,0.164,0.011,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,1.107884856858895,0.6516969746228795
NGC6624,11,134,32.2576,0.148,0.007,0.158,0.011,0.139,0.009,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,1.2542406709815042,0.7377886299891201
NGC6624,12,134,36.1063,0.138,0.007,0.134,0.009,0.141,0.01,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,1.4038859040554623,0.8258152376796838
NGC6624,13,134,41.1751,0.131,0.006,0.139,0.01,0.125,0.009,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,1.600971090587351,0.9417477003455008
NGC6624,14,134,47.0003,0.132,0.006,0.132,0.009,0.133,0.009,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,1.8274666375778728,1.0749803750458078
NGC6624,15,134,53.7586,0.135,0.007,0.139,0.01,0.134,0.009,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,2.0902429980849875,1.229554704755875
NGC6624,16,134,60.2909,0.127,0.006,0.117,0.008,0.133,0.009,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,2.344232021913557,1.378960012890328
NGC6624,17,133,68.7857,0.117,0.006,0.111,0.008,0.126,0.009,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,2.67452701136887,1.573251183158159
NGC6624,18,133,83.4855,0.118,0.006,0.111,0.008,0.124,0.009,8.02,1.7,2.25,103000.0,1.2,8.4,0.19,16.82,0.87,46.7,3.246084939277144,1.9094617289865552
NGC6637,1,62,3.7959,0.167,0.012,0.184,0.018,0.149,0.015,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,0.1637869245873027,0.0679613794968061
NGC6637,2,177,8.0192,0.156,0.006,0.149,0.009,0.163,0.009,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,0.3460154655419,0.1435748819675933
NGC6637,3,166,11.8573,0.149,0.006,0.155,0.009,0.142,0.008,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,0.5116232516423048,0.2122918056607073
NGC6637,4,166,14.8044,0.152,0.007,0.158,0.009,0.147,0.009,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,0.6387858337575449,0.2650563625549978
NGC6637,5,166,17.3105,0.152,0.006,0.16,0.01,0.146,0.009,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,0.7469199815770975,0.3099253035589616
NGC6637,6,166,20.0041,0.142,0.006,0.148,0.009,0.135,0.008,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,0.8631444501005988,0.3581512241081322
NGC6637,7,166,22.4871,0.148,0.006,0.146,0.009,0.15,0.009,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,0.9702818704094248,0.4026065852321265
NGC6637,8,166,25.0251,0.14,0.006,0.151,0.009,0.131,0.008,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,1.0797924514580757,0.4480466603560479
NGC6637,9,166,27.4378,0.134,0.006,0.134,0.008,0.136,0.008,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,1.1838965408576347,0.491243377949226
NGC6637,10,166,30.0482,0.143,0.006,0.151,0.009,0.136,0.008,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,1.2965310644074373,0.5379796947748702
NGC6637,11,166,33.2049,0.152,0.006,0.158,0.009,0.147,0.009,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,1.432737546360265,0.5944969072034294
NGC6637,12,166,36.2699,0.136,0.006,0.134,0.008,0.139,0.008,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,1.564987322134148,0.649372332835746
NGC6637,13,166,39.8092,0.134,0.006,0.125,0.007,0.144,0.009,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,1.71770237316074,0.7127395739256182
NGC6637,14,166,43.3896,0.133,0.006,0.137,0.008,0.129,0.008,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,1.8721908224856376,0.7768426649317998
NGC6637,15,166,46.6961,0.13,0.005,0.118,0.007,0.141,0.008,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,2.014860931326207,0.836041880218343
NGC6637,16,165,51.0632,0.125,0.005,0.123,0.007,0.129,0.008,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,2.2032942089060192,0.9142299622016676
NGC6637,17,165,55.0196,0.117,0.005,0.114,0.007,0.121,0.007,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,2.3740064480159018,0.9850649161891708
NGC6637,18,165,59.1871,0.119,0.005,0.108,0.007,0.129,0.007,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,2.5538273095290043,1.059679381547305
NGC6637,19,165,64.1068,0.124,0.005,0.124,0.007,0.124,0.007,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,2.7661043802874947,1.1477611536462633
NGC6637,20,165,69.7444,0.119,0.005,0.115,0.007,0.124,0.007,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,3.009357670957263,1.24869612902791
NGC6637,21,165,77.0336,0.107,0.005,0.101,0.006,0.114,0.007,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,3.323874821225123,1.379201170632831
NGC6637,22,165,87.7647,0.103,0.005,0.101,0.006,0.105,0.006,8.9,2.41,3.19,138000.0,1.71,8.78,0.57,24.2,,,3.78690437059123,1.5713296143532074
NGC6681,1,121,2.8798,0.15,0.007,0.152,0.01,0.147,0.01,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,0.1306810559232055,0.0605004888533359
NGC6681,2,192,7.3722,0.144,0.005,0.141,0.007,0.146,0.008,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,0.3345395098538288,0.1548794027101059
NGC6681,3,140,11.736,0.138,0.006,0.141,0.009,0.134,0.008,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,0.5325622863791725,0.2465566140644317
NGC6681,4,139,15.2272,0.125,0.005,0.13,0.008,0.122,0.008,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,0.6909877681623154,0.3199017445195904
NGC6681,5,139,18.9256,0.128,0.006,0.128,0.008,0.13,0.008,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,0.8588156788597192,0.397599851323944
NGC6681,6,139,23.0955,0.123,0.005,0.13,0.008,0.118,0.008,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,1.0480395607592174,0.4852035003514895
NGC6681,7,139,27.7289,0.122,0.005,0.126,0.008,0.118,0.007,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,1.258296385717402,0.5825446230173158
NGC6681,8,139,32.196,0.12,0.005,0.127,0.008,0.115,0.007,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,1.4610067631444985,0.6763920199743048
NGC6681,9,139,37.9567,0.12,0.005,0.113,0.007,0.127,0.008,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,1.722418791360628,0.7974161071114019
NGC6681,10,139,44.0388,0.106,0.005,0.102,0.007,0.111,0.007,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,1.9984154752381644,0.9251923496472982
NGC6681,11,139,51.2332,0.105,0.005,0.105,0.007,0.104,0.007,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,2.324886684604756,1.0763364280577572
NGC6681,12,139,58.7249,0.103,0.005,0.11,0.007,0.096,0.006,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,2.6648489273507376,1.233726355254971
NGC6681,13,139,70.0132,0.097,0.004,0.095,0.006,0.099,0.006,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,3.1770952512544537,1.470877431136321
NGC6681,14,139,86.5454,0.086,0.004,0.096,0.006,0.075,0.005,9.36,2.16,3.04,105000.0,2.29,8.71,0.07,27.47,,,3.927301985310159,1.818195363569518
NGC6715,1,90,7.7625,0.154,0.009,0.165,0.013,0.141,0.011,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,0.9890117082394008,0.2762602536981566
NGC6715,2,157,13.0404,0.128,0.005,0.127,0.008,0.127,0.008,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,1.661463224492764,0.4640958727633419
NGC6715,3,157,17.0293,0.119,0.005,0.123,0.007,0.115,0.007,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,2.1696846483892083,0.6060571643545274
NGC6715,4,157,20.194,0.12,0.005,0.13,0.008,0.115,0.007,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,2.5728956439531667,0.7186859340651304
NGC6715,5,157,22.6482,0.118,0.005,0.116,0.007,0.12,0.008,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,2.8855826049014617,0.8060286605870004
NGC6715,6,157,24.545,0.116,0.005,0.115,0.007,0.118,0.007,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,3.127251836230093,0.8735340324665064
NGC6715,7,157,26.2798,0.11,0.005,0.122,0.008,0.094,0.006,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,3.348280823212857,0.9352739729644852
NGC6715,8,157,28.5794,0.101,0.005,0.107,0.007,0.097,0.006,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,3.641270365791579,1.0171146273160834
NGC6715,9,156,30.6242,0.115,0.005,0.12,0.008,0.109,0.007,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,3.901796116646062,1.0898871834206878
NGC6715,10,156,32.6795,0.115,0.005,0.12,0.008,0.112,0.007,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,4.163659661115554,1.1630334248926129
NGC6715,11,156,35.3055,0.104,0.005,0.11,0.007,0.099,0.006,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,4.498235473783725,1.2564903558055098
NGC6715,12,156,38.072,0.1,0.005,0.098,0.006,0.103,0.007,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,4.850712239109883,1.3549475528239896
NGC6715,13,156,42.4927,0.095,0.004,0.096,0.006,0.094,0.006,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,5.413948832812159,1.512276210282726
NGC6715,14,156,49.5454,0.088,0.004,0.091,0.006,0.084,0.005,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,6.312525692676896,1.7632753331499709
NGC6715,15,156,59.6114,0.095,0.004,0.098,0.006,0.095,0.006,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,7.595023838266309,2.121515038621874
NGC6715,16,156,74.9231,0.101,0.005,0.111,0.007,0.09,0.006,26.28,3.58,5.78,1590000.0,18.51,9.76,0.55,279.15,0.57,18.5,9.545870933023055,2.666444394699177
NGC6723,1,91,10.1496,0.149,0.008,0.152,0.012,0.148,0.012,8.27,3.64,5.07,197000.0,2.47,9.23,1.48,38.54,0.84,93.0,0.406938608101229,0.111796320906931
NGC6723,2,110,19.8719,0.156,0.008,0.166,0.012,0.143,0.011,8.27,3.64,5.07,197000.0,2.47,9.23,1.48,38.54,0.84,93.0,0.7967450270283373,0.2188859964363564
NGC6723,3,110,26.4653,0.15,0.008,0.147,0.011,0.154,0.011,8.27,3.64,5.07,197000.0,2.47,9.23,1.48,38.54,0.84,93.0,1.0611011611276753,0.2915113080021085
NGC6723,4,110,33.429,0.145,0.007,0.17,0.012,0.121,0.009,8.27,3.64,5.07,197000.0,2.47,9.23,1.48,38.54,0.84,93.0,1.3403041233364847,0.3682154184990343
NGC6723,5,110,39.6788,0.142,0.007,0.144,0.011,0.141,0.011,8.27,3.64,5.07,197000.0,2.47,9.23,1.48,38.54,0.84,93.0,1.5908839405618986,0.4370560276268952
NGC6723,6,110,46.3131,0.132,0.007,0.127,0.009,0.138,0.01,8.27,3.64,5.07,197000.0,2.47,9.23,1.48,38.54,0.84,93.0,1.8568799214602567,0.5101318465550156
NGC6723,7,110,52.7583,0.149,0.008,0.155,0.011,0.143,0.011,8.27,3.64,5.07,197000.0,2.47,9.23,1.48,38.54,0.84,93.0,2.115294116791506,0.5811247573603038
NGC6723,8,110,58.6263,0.131,0.007,0.135,0.01,0.124,0.009,8.27,3.64,5.07,197000.0,2.47,9.23,1.48,38.54,0.84,93.0,2.3505660242891424,0.6457598967827314
NGC6723,9,109,66.0272,0.132,0.007,0.131,0.01,0.131,0.01,8.27,3.64,5.07,197000.0,2.47,9.23,1.48,38.54,0.84,93.0,2.647298106804353,0.7272796996715255
NGC6723,10,109,73.1544,0.128,0.007,0.14,0.01,0.111,0.009,8.27,3.64,5.07,197000.0,2.47,9.23,1.48,38.54,0.84,93.0,2.933056446803868,0.8057847381329308
NGC6723,11,109,84.6906,0.117,0.006,0.112,0.009,0.124,0.009,8.27,3.64,5.07,197000.0,2.47,9.23,1.48,38.54,0.84,93.0,3.3955894698567377,0.932854249960642
NGC7078,1,61,3.8931,0.235,0.015,0.23,0.021,0.239,0.022,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,0.2021433641189731,0.0995780118812676
NGC7078,2,286,8.4825,0.226,0.007,0.225,0.01,0.227,0.01,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,0.440441058832085,0.2169660388335394
NGC7078,3,286,12.6527,0.222,0.007,0.225,0.01,0.221,0.01,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,0.656972423823722,0.3236317358737547
NGC7078,4,286,16.4859,0.218,0.007,0.222,0.009,0.214,0.009,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,0.8560055705039635,0.4216776209379131
NGC7078,5,285,19.581,0.222,0.007,0.229,0.01,0.216,0.009,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,1.0167139844374955,0.5008443273091111
NGC7078,6,285,22.5622,0.208,0.006,0.216,0.009,0.2,0.009,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,1.171508312122755,0.5770976907008646
NGC7078,7,285,25.5847,0.227,0.007,0.232,0.01,0.221,0.01,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,1.3284470802123485,0.6544074286760337
NGC7078,8,285,28.6104,0.209,0.006,0.214,0.009,0.206,0.009,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,1.4855520034906553,0.7317990164978598
NGC7078,9,285,31.8959,0.215,0.007,0.22,0.01,0.208,0.009,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,1.6561466511526437,0.8158357887451447
NGC7078,10,285,35.2029,0.194,0.006,0.194,0.008,0.194,0.009,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,1.8278576539888007,0.9004224896496559
NGC7078,11,285,38.6231,0.191,0.006,0.209,0.009,0.172,0.008,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,2.0054463966257,0.9879046288796552
NGC7078,12,285,42.1999,0.195,0.006,0.2,0.009,0.19,0.008,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,2.191166358810269,1.079392294980428
NGC7078,13,285,46.1795,0.181,0.006,0.194,0.009,0.168,0.007,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,2.3978011053741546,1.1811828105291402
NGC7078,14,285,50.2542,0.178,0.006,0.19,0.008,0.165,0.007,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,2.609373776452621,1.285405801208188
NGC7078,15,285,54.7929,0.189,0.006,0.205,0.009,0.175,0.008,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,2.845038949894554,1.4014970196524896
NGC7078,16,285,60.1687,0.175,0.005,0.187,0.008,0.162,0.007,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,3.1241692822340195,1.5389996464206994
NGC7078,17,285,65.599,0.163,0.005,0.166,0.007,0.161,0.007,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,3.406129445131264,1.6778962783897853
NGC7078,18,285,71.4723,0.169,0.005,0.18,0.008,0.153,0.007,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,3.711091716966039,1.8281239985054385
NGC7078,19,285,78.3571,0.16,0.005,0.172,0.008,0.147,0.007,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,4.068574605483238,2.004223943587802
NGC7078,20,285,86.3411,0.153,0.005,0.166,0.007,0.141,0.006,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,4.48313180132354,2.208439310996818
NGC7078,21,285,99.8755,0.151,0.005,0.163,0.007,0.138,0.006,10.71,2.03,3.66,518000.0,10.76,9.21,0.06,132.13,3.29,100.0,5.1858851719874925,2.5546232374322626
NGC7099,1,101,4.7085,0.157,0.008,0.153,0.011,0.16,0.012,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,0.1931200639953458,0.0760315212580101
NGC7099,2,101,11.1876,0.137,0.007,0.16,0.012,0.11,0.008,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,0.4588616391535161,0.1806541886431165
NGC7099,3,101,15.1521,0.13,0.007,0.13,0.01,0.134,0.01,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,0.6214663951712602,0.2446718091225433
NGC7099,4,101,19.2833,0.128,0.007,0.129,0.01,0.142,0.011,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,0.7909083848447387,0.3113812538758814
NGC7099,5,101,24.381,0.128,0.007,0.148,0.011,0.109,0.009,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,0.9999915642498728,0.3936974662401074
NGC7099,6,101,30.0602,0.125,0.007,0.125,0.01,0.124,0.01,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,1.2329250818122317,0.4854035755166266
NGC7099,7,101,35.796,0.123,0.007,0.133,0.01,0.114,0.009,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,1.4681800596320267,0.57802364552442
NGC7099,8,101,41.0291,0.116,0.006,0.115,0.009,0.117,0.009,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,1.6828166969674936,0.6625262586486195
NGC7099,9,101,48.1586,0.121,0.007,0.129,0.01,0.113,0.009,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,1.9752345574867285,0.7776514005853261
NGC7099,10,101,56.6161,0.11,0.006,0.116,0.009,0.103,0.008,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,2.3221206021380265,0.91422070950316
NGC7099,11,101,65.0013,0.107,0.006,0.113,0.009,0.102,0.008,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,2.6660412479092432,1.0496225385469462
NGC7099,12,100,74.4886,0.109,0.006,0.106,0.008,0.112,0.009,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,3.0551647443822274,1.202820765504814
NGC7099,13,100,87.3989,0.099,0.005,0.099,0.008,0.101,0.008,8.46,2.54,4.27,121000.0,7.36,9.01,0.09,71.2,1.1,100.0,3.5846832666715147,1.4112926246738249
